"Allocated Item Category","Total as per FAR",,Tagged,,Non-Tagged,,Unspecified,
,"Amount(in Lacs)","Number of Line Items","Amount(in Lacs)","Number of Line Items","Amount(in Lacs)","Number of Line Items","Amount(in Lacs)","Number of Line Items"
"F&F (Furniture & Fixtures)",217.79,15,217.79,15,0,0,0,0
"MED (Medical Equipment/Items)",1.17,6,1.17,6,0,0,0,0
"Grand Total",218.96,21,218.96,21,0,0,0,0
"% to total FAR",100%,100%,100%,100%,0%,0%,0%,0%
