"Allocated Item Category","To be Verified (Amount in Lacs)","To be Verified (Number of Qty)","Good Condition (Number of Qty)","Damaged (Number of Qty)","Scrapped (Number of Qty)","Missing (Number of Qty)","Shifted (Number of Qty)","Not in Use (Number of Qty)","Remaining to be Verified (Amount in Lacs)","Remaining to be Verified (Number of Qty)"
F&F,115.98,229,56,0,0,0,0,0,115.69,173
OE,1.31,3,0,0,0,0,0,0,1.31,3
"Grand Total",117.29,232,56,0,0,0,0,0,117,176
"% to Grand Total",100%,100%,24.14%,0%,0%,0%,0%,0%,99.75%,75.86%
