"Allocated Item Category","To be Verified (Amount in Lacs)","To be Verified (Number of Qty)","Good Condition (Number of Qty)","Damaged (Number of Qty)","Scrapped (Number of Qty)","Missing (Number of Qty)","Shifted (Number of Qty)","Not in Use (Number of Qty)","Remaining to be Verified (Amount in Lacs)","Remaining to be Verified (Number of Qty)"
F&F,116.83,342,15,10,0,0,0,0,116.71,317
OE,1.31,3,0,0,0,0,0,0,1.31,3
COMP,0.45,36,10,14,20,0,0,11,-0.06,-19
MED,1.19,48,21,0,0,0,0,0,0.76,27
TEST,197.55,1975,14,0,1,1,10,1,196.7,1948
"Grand Total",317.33,2404,60,24,21,1,10,12,315.42,2276
"% to Grand Total",100%,100%,2.5%,1%,0.87%,0.04%,0.42%,0.5%,99.4%,94.68%
