"Allocated Item Category","To be Verified (Amount in Lacs)","To be Verified (Number of Line Items)","Verified (Amount in Lacs)","Verified (Number of Line Items)","Verified as Equal (Amount in Lacs)","Verified as Equal (Number of Line Items)","Short Found (Amount in Lacs)","Short Found (Number of Line Items)","Excess Found (Amount in Lacs)","Excess Found (Number of Line Items)","Remaining to be Verified (Amount in Lacs)","Remaining to be Verified (Number of Line Items)"
COMP,0.09,1,0.18,1,0,0,0,0,0.18,1,0,0
"Grand Total",0.09,1,0.18,1,0,0,0,0,0.18,1,0,0
