"Allocated Item Category","To be Verified (Amount in Lacs)","To be Verified (Number of Qty)","Good Condition (Number of Qty)","Damaged (Number of Qty)","Scrapped (Number of Qty)","Missing (Number of Qty)","Shifted (Number of Qty)","Not in Use (Number of Qty)","Remaining to be Verified (Amount in Lacs)","Remaining to be Verified (Number of Qty)"
F&F,116.83,342,25,0,18,0,40,25,"0,110.78",234
OE,1.31,3,0,0,0,0,0,0,1.31,3
"Grand Total",118.14,345,25,0,18,0,40,25,"0,109.47",237
"% to Grand Total",100%,100%,7.25%,0%,5.22%,0%,11.59%,7.25%,-92.66%,68.7%
