"Allocated Item Category","To be Verified (Amount in Lacs)","To be Verified (Number of Qty)","Good Condition (Number of Qty)","Damaged (Number of Qty)","Scrapped (Number of Qty)","Missing (Number of Qty)","Shifted (Number of Qty)","Not in Use (Number of Qty)","Remaining to be Verified (Amount in Lacs)","Remaining to be Verified (Number of Qty)"
Computer,0,92,78,0,5,4,6,1,-0,-2
Furniture,0.02,2216,2227,1,0,0,0,0,0,-12
"Medical Equipment",0,360,352,0,0,0,0,0,0,8
"Office Equipment",0,366,367,0,1,0,0,0,0,-2
"Plant & Machinery",0,213,212,0,0,0,0,0,0,1
"Grand Total",0.03,3247,3236,1,6,4,6,1,0,-7
"% to Grand Total",100%,100%,99.66%,0.03%,0.18%,0.12%,0.18%,0.03%,0.49%,-0.22%
