"Allocated Item Category","To be Verified (Amount in Lacs)","To be Verified (Number of Qty)","Good Condition (Amount in Lacs)","Good Condition (Number of Qty)","Damaged (Amount in Lacs)","Damaged (Number of Qty)","Scrapped (Amount in Lacs)","Scrapped (Number of Qty)","Missing (Amount in Lacs)","Missing (Number of Qty)","Shifted (Amount in Lacs)","Shifted (Number of Qty)","Not in Use (Amount in Lacs)","Not in Use (Number of Qty)","Remaining to be Verified (Amount in Lacs)","Remaining to be Verified (Number of Qty)"
COMP,0.45,36,0.09,0,0,0,0,0,0,0,0,0,0,0,0.36,36
F&F,115.98,229,0,0,0,0,0,0,0,0,0,0,0,0,115.98,229
MED,1.19,48,0,0,0,0,0,0,0,0,0,0,0,0,1.19,48
OE,1.31,3,0,0,0,0,0,0,0,0,0,0,0,0,1.31,3
"Grand Total",118.93,316,0.09,0,0,0,0,0,0,0,0,0,0,0,118.84,316
