"Allocated Item Category","To be Verified (Amount in Lacs)","To be Verified (Number of Qty)","Good Condition (Number of Qty)","Damaged (Number of Qty)","Scrapped (Number of Qty)","Missing (Number of Qty)","Shifted (Number of Qty)","Not in Use (Number of Qty)","Remaining to be Verified (Amount in Lacs)","Remaining to be Verified (Number of Qty)"
F&F,115.98,229,10,10,20,0,0,0,115.11,189
OE,1.31,3,0,0,0,0,0,0,1.31,3
"Grand Total",117.29,232,10,10,20,0,0,0,116.42,192
"% to Grand Total",100%,100%,4.31%,4.31%,8.62%,0%,0%,0%,99.26%,82.76%
